Company_Name,Website,Location,Minimum Project Size,Average Hourly Rate,Number of Employees,Percent AI Service Focus,Ciudad,Estado,Pais,Disponibilidad_MinProject,Disponibilidad_HourlyRate,Employees_Num,Tamaño_Empleados,Clasificación por número de empleados,Tipo de proveedor / segmento de análisis,Segmentación servicios AI,Descripción Segmentación,Clasificación por regiones,Transparencia_Comercial,continent,country,iso_code,conteo_pais
Vistalore,https://vistalore.com,"Joshua, TX","$1,000+",$100 - $149 / hr,Freelancer,80%,Joshua,TX,USA,Informado,Informado,0,No informado,No aplica,Freelancer,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,2,North America,USA,USA,917
OrangeLoops,http://orangeloops.com/,"Boston, MA","$5,000+",$50 - $99 / hr,50 - 249,10%,Boston,MA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
AIDerivatives,https://aiderivatives.co,"Draper, UT","$10,000+",$50 - $99 / hr,2 - 9,75%,Draper,UT,USA,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,2,North America,USA,USA,917
Infrrd,https://infrrd.ai/,"San Jose, CA","$25,000+",$150 - $199 / hr,250 - 999,100%,San Jose,CA,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,2,North America,USA,USA,917
Luxolis,https://luxpmsoft.com/,"Seongnam-si, South Korea","$10,000+",Undisclosed,10 - 49,25%,Seongnam-si,,South Korea,Informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,1,Asia,South Korea,South Korea,2
INNOVANT,https://innovant.us/,"Montevideo, Uruguay","$10,000+",$50 - $99 / hr,50 - 249,10%,Montevideo,,Uruguay,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Sur,2,South America,Uruguay,URY,22
HubSpire,https://www.hubspire.com/,"New York, NY","$25,000+",$50 - $99 / hr,10 - 49,10%,New York,NY,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
AlpineIntuition,https://www.alpineintuition.ch,"Lonay, Switzerland",Undisclosed,Undisclosed,10 - 49,50%,Lonay,,Switzerland,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,Switzerland,CHE,21
TrustID,http://www.trustid.co.uk,"Reading, United Kingdom","$1,000+",Undisclosed,10 - 49,40%,Reading,,United Kingdom,Informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,1,Europe,United Kingdom,GBR,304
1T2B,https://1t2b.eu/,"Vilnius, Lithuania","$1,000+",$25 - $49 / hr,10 - 49,22%,Lithuania,,Lithuania,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Lithuania,LTU,12
XpertSolvers,https://xpertsolvers.com,"Bamberg, Germany","$1,000+",$25 - $49 / hr,10 - 49,15%,Bamberg,,Germany,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Germany,DEU,47
KorahLimited,http://korahlimited.com/,"Markham, Canada","$1,000+",Undisclosed,10 - 49,50%,Markham,,Canada,Informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,1,North America,Canada,CAN,126
Vstorm,https://vstorm.co/,"Wrocław, Poland","$5,000+",$25 - $49 / hr,10 - 49,10%,Wrocław,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
ExcellediaDigitalInnovation,https://www.eiuk.org/,"Kochi, India","$1,000+",$25 - $49 / hr,10 - 49,20%,Kochi,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
Incodeks,https://www.incodeks.com,"Prishtinë, Kosovo","$10,000+",$25 - $49 / hr,10 - 49,20%,Prishtinë,,Kosovo,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Kosovo,XKX,2
"York&Whiting,LLC",http://www.yorkandwhiting.com/,"Yorktown, VA",Undisclosed,Undisclosed,10 - 49,20%,Yorktown,VA,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
"KastellumGroup,LLC",https://www.kastellum.com/,"Odessa, FL",Undisclosed,Undisclosed,10 - 49,20%,Odessa,FL,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
AsteroidGroup,http://asteroidgroup.co,"Dębica, Poland","$10,000+",$25 - $49 / hr,10 - 49,20%,Dębica,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
BOTMATIC,https://www.botmaticsolution.com/,"Pune, India","$1,000+",$25 - $49 / hr,10 - 49,20%,Pune,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
SpearsLab,https://www.spearslab.com,"Lekki, Nigeria","$1,000+",$50 - $99 / hr,10 - 49,20%,Lekki,,Nigeria,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,África,2,Africa,Nigeria,NGA,4
PerisyncTechnologies,https://www.perisync.com,"Bengaluru, India","$5,000+",< $25 / hr,10 - 49,20%,Bengaluru,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
XSAVTechnologyPVTLTD,http://www.savtechnologys.com,"Pune, India","$5,000+",$25 - $49 / hr,10 - 49,20%,Pune,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
IdataSolutionsPvt.Ltd.,https://idata.com.np/,"Kathmandu, Nepal","$1,000+",$25 - $49 / hr,10 - 49,20%,Kathmandu,,Nepal,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,Nepal,NPL,3
Tessafold,https://www.tessafold.com,"Berlin, Germany","$5,000+",$50 - $99 / hr,10 - 49,20%,Berlin,,Germany,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Germany,DEU,47
ZYTcodeSolutionsPvtLtd,http://www.zytcode.com,"Bengaluru, India","$100,000+",< $25 / hr,10 - 49,20%,Bengaluru,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
Dosion,http://www.dosion.net/,"Xiangxi Tujia and Miao Autonomous Prefecture, China",Undisclosed,Undisclosed,10 - 49,20%,Xiangxi Tujia and Miao Autonomous Prefecture,,China,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,0,Asia,China,China,87
Ipinnovatech,http://www.ipinnovatech.co,"Cali, Colombia",Undisclosed,Undisclosed,10 - 49,20%,Cali,,Colombia,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Sur,0,South America,Colombia,COL,43
Seaflux,https://www.seaflux.tech/,"Ahmedabad, India","$25,000+",$25 - $49 / hr,10 - 49,20%,Ahmedabad,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
SINERWARES.A.S.,http://www.sinerware.com/,"Bogotá, Colombia",Undisclosed,Undisclosed,10 - 49,20%,Bogotá,,Colombia,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Sur,0,South America,Colombia,COL,43
VirtualAnalytics,https://www.virtualanalytics.ai,"Noida, India","$5,000+",$25 - $49 / hr,10 - 49,20%,Noida,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
SiliconNexus,http://silicon-nexus.com/,"Lahore, Pakistan","$1,000+",$25 - $49 / hr,10 - 49,20%,Lahore,,Pakistan,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,Pakistan,PAK,61
"Tasi,LLC",https://www.tasi.biz/,"Tucson, AZ",Undisclosed,Undisclosed,10 - 49,20%,Tucson,AZ,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
VAASIntelligentTechnologyServicesPrivateLimited,https://vaasits.com,"Ernakulam, India","$1,000+",< $25 / hr,10 - 49,20%,Ernakulam,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
GlobalxSolutions,http://globalxsolutions.com,"Karachi, Pakistan","$1,000+",$25 - $49 / hr,10 - 49,20%,Karachi,,Pakistan,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,Pakistan,PAK,61
ZamorinGlobalVenturesPvtLtd,https://www.zamorin.global/,"Kozhikode, India","$1,000+",$300+ / hr,10 - 49,20%,Kozhikode,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
QuantumSpace,https://quantumspacepteltd.com/,"Singapore, Singapore",Undisclosed,Undisclosed,10 - 49,20%,Singapore,,Singapore,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,0,Asia,Singapore,SGP,24
CheverTech,https://www.chevertech.com/,"Dubai, United Arab Emirates",Undisclosed,Undisclosed,10 - 49,20%,Dubai,,United Arab Emirates,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Oriente Medio,0,Middle East,United Arab Emirates,ARE,39
KlatchTechnologies,https://klatchtech.com,"Guwahati, India",Undisclosed,$25 - $49 / hr,2 - 9,23%,Guwahati,,India,No informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,1,Asia,India,IND,441
Akurey,https://www.akurey.com,"San José, Costa Rica","$50,000+",$50 - $99 / hr,10 - 49,10%,San José,,Costa Rica,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Centroamérica,2,Central America,Costa Rica,Costa Rica,9
InfospicaConsultancyServices,https://www.infospica.com,"Thiruvananthapuram, India","$1,000+",$25 - $49 / hr,10 - 49,10%,Thiruvananthapuram,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
InceptionInnovation,https://www.inceptioninnovation.com/,"Dubai, United Arab Emirates","$5,000+",$100 - $149 / hr,10 - 49,10%,Dubai,,United Arab Emirates,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Oriente Medio,2,Middle East,United Arab Emirates,ARE,39
MediaSolutions,http://www.mediasolutions.digital/,"Dubai, United Arab Emirates",Undisclosed,Undisclosed,10 - 49,10%,Dubai,,United Arab Emirates,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Oriente Medio,0,Middle East,United Arab Emirates,ARE,39
ImpulsiveWeb,https://www.impulsiveweb.com/,"Noida, India","$1,000+",$25 - $49 / hr,10 - 49,10%,Noida,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
VirtueTechInc,http://www.virtuetechinc.com/,"Bellevue, WA","$100,000+",$100 - $149 / hr,10 - 49,10%,Bellevue,WA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
HelloBuild,https://hellobuild.co,"Coral Gables, FL","$75,000+",Undisclosed,10 - 49,10%,Coral Gables,FL,USA,Informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,1,North America,USA,USA,917
EMCOMDevelopment,https://www.emcomponents.net,Poland,"$25,000+",$25 - $49 / hr,10 - 49,10%,Poland,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
PocketApps,https://www.pktapps.com,"Ahmedabad, India","$5,000+",$25 - $49 / hr,10 - 49,10%,Ahmedabad,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
HDINFOTECH,https://www.hdinfotech.co.in/,"Bengaluru, India","$1,000+",$25 - $49 / hr,10 - 49,10%,Bengaluru,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
DoSystemsInc,https://www.dosystemsinc.com/,"Hyderabad, India","$5,000+",< $25 / hr,10 - 49,10%,Hyderabad,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
CognagicInformatics,https://www.cognagic.com/,"Pimpri-Chinchwad, India","$5,000+",$25 - $49 / hr,10 - 49,10%,Pimpri-Chinchwad,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
NNG,http://www.nng.bz/,"Ho Chi Minh, Vietnam","$5,000+",< $25 / hr,10 - 49,10%,Ho Chi Minh,,Vietnam,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Vietnam,VNM,29
XactideaLtd.,https://www.xactidea.com/,"ঢাকা, Bangladesh","$1,000+",$25 - $49 / hr,10 - 49,10%,ঢাকা,,Bangladesh,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Bangladesh,BGD,19
Flow2Code,http://flow2code.com,"Poznań, Poland","$5,000+",$25 - $49 / hr,10 - 49,10%,Poznań,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
MiWeb,https://www.miweb.digital,"New York, NY","$5,000+",$50 - $99 / hr,10 - 49,10%,New York,NY,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
WharfStreetStrategiesLimited,https://wharfstreetstrategies.com/,"Navi Mumbai, India","$1,000+",$25 - $49 / hr,10 - 49,10%,Navi Mumbai,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
MysticRiverConsulting,https://mysticriver.consulting/,"Santa Monica, CA",Undisclosed,Undisclosed,10 - 49,10%,Santa Monica,CA,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,0,North America,USA,USA,917
Oxit,http://www.oxit.com,"Charlotte, NC","$5,000+",$100 - $149 / hr,10 - 49,10%,Charlotte,NC,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
KeenSolution,http://keensolution.in/,"Mumbai, India","$10,000+",$25 - $49 / hr,10 - 49,10%,Mumbai,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
UPGRIDSOFTWARE,https://upgrid.net,"Cluj-Napoca, Romania","$1,000+",$25 - $49 / hr,10 - 49,10%,Cluj-Napoca,,Romania,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Romania,ROU,27
BetterLives:),https://betterlives.world,"Coimbatore, India","$25,000+",$25 - $49 / hr,10 - 49,10%,Coimbatore,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
EncasulateConsultancyINC,https://encasulate.com/,"Fremont, CA","$1,000+",$25 - $49 / hr,10 - 49,10%,Fremont,CA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
brandSuite,https://brandsuite.app,"Monroe Township, NJ",Undisclosed,Undisclosed,10 - 49,10%,Monroe Township,NJ,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,0,North America,USA,USA,917
VirtualCoders,https://www.virtualcoders.net,"Ahmedabad, India",Undisclosed,Undisclosed,10 - 49,10%,Ahmedabad,,India,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,0,Asia,India,IND,441
HauperTechnologies,https://www.hauper.com,"Ahmedabad, India","$5,000+",< $25 / hr,10 - 49,10%,Ahmedabad,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
SparkBrainsPvt.Ltd.,https://sparkbrains.in/,"Panchkula, India","$1,000+",< $25 / hr,10 - 49,10%,Panchkula,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
OpenTurfTechnologies,https://www.openturf.in,"دبي, United Arab Emirates","$5,000+",< $25 / hr,10 - 49,10%,دبي,,United Arab Emirates,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Oriente Medio,2,Middle East,United Arab Emirates,ARE,39
Enginerasoft,https://enginerasoft.com/,"Sugar Land, TX","$5,000+",$25 - $49 / hr,10 - 49,10%,Sugar Land,TX,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
Technisia,https://technisia.com,"Lahore, Pakistan","$1,000+",$25 - $49 / hr,10 - 49,10%,Lahore,,Pakistan,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Pakistan,PAK,61
TheBeehiveSoftware,https://thebeehivesoftware.com/,"San Diego, CA","$10,000+",$50 - $99 / hr,10 - 49,10%,San Diego,CA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
CieloAppB.V.(partnerofNaylalabsSoft.Dev.Agency),https://www.naylalabs.com/,"Amsterdam, Netherlands","$25,000+",Undisclosed,10 - 49,10%,Amsterdam,,Netherlands,Informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,1,Europe,Netherlands,NLD,26
InNeedIntelligentCloud,https://inneed.cloud/,"Plano, TX","$10,000+",$50 - $99 / hr,10 - 49,10%,Plano,TX,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
AugmentProLLP,https://b18animationstudio.com/,"Mumbai, India",Undisclosed,< $25 / hr,10 - 49,10%,Mumbai,,India,No informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,1,Asia,India,IND,441
SAITSys,https://www.saitsys.com/,"Austin, TX","$1,000+",< $25 / hr,10 - 49,10%,Austin,TX,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
FlashData,http://fd.myflashcloud.com/,"shanghai xuhui area, China","$1,000+",$25 - $49 / hr,250 - 999,10%,shanghai xuhui area,,China,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,China,China,87
OverAndAllTech,http://www.overandall.com/,"Mumbai, India","$25,000+",$25 - $49 / hr,2 - 9,10%,Mumbai,,India,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
eLearningDesignCenter,https://elearningdesigncenter.com,"Lyon Charter Township, MI",Undisclosed,Undisclosed,2 - 9,20%,Lyon Charter Township,MI,USA,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
RiptechSolutions,http://www.riptechsolutions.com,"Nové Město (Praha 1), Czech Republic","$5,000+",$25 - $49 / hr,2 - 9,20%,Nové Město (Praha 1),,Czech Republic,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Czech Republic,CZE,24
RESTGroup,https://restgroup.pl/en/,"Poznan, Poland","$1,000+",< $25 / hr,2 - 9,10%,Poznan,,Poland,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
LIBERATEDITLLP,https://www.liberatedit.com/,"New Delhi, India","$5,000+",< $25 / hr,2 - 9,10%,New Delhi,,India,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
DragoonsMedia,https://www.dragoonsmedia.com/,"Atlanta, GA",Undisclosed,Undisclosed,Freelancer,15%,Atlanta,GA,USA,No informado,No informado,0,No informado,No aplica,Freelancer,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,0,North America,USA,USA,917
Nivalit,https://nivalit.com,"Kraków, Poland","$25,000+",$50 - $99 / hr,2 - 9,20%,Kraków,,Poland,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
ChangepondTechnologiesPrivateLimited,https://www.changepond.com,"Harrow, United Kingdom","$25,000+",$25 - $49 / hr,250 - 999,10%,Harrow,,United Kingdom,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,United Kingdom,GBR,304
VMOJAPAN,https://www.vmogroup.jp/,"Ha Noi, Vietnam","$5,000+",< $25 / hr,250 - 999,10%,Ha Noi,,Vietnam,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Vietnam,VNM,29
NSRInformationSystems,https://nsrinfosystems.com/,"Hyderabad, India",Undisclosed,Undisclosed,250 - 999,10%,Hyderabad,,India,No informado,No informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,0,Asia,India,IND,441
Raisense,https://raisense.uz/,"Тошкент, Uzbekistan","$1,000+",$25 - $49 / hr,10 - 49,15%,Тошкент,,Uzbekistan,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Uzbekistan,UZB,1
Teknomatics,http://teknomatics.com/,"Bengaluru, India","$1,000+",< $25 / hr,2 - 9,10%,Bengaluru,,India,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
iDevTeam,https://idevteam.net,Poland,"$5,000+",$25 - $49 / hr,2 - 9,10%,Poland,,Poland,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
CodeCat,http://codecat.pl,"Wrocław, Poland","$1,000+",< $25 / hr,2 - 9,10%,Wrocław,,Poland,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
EthosTechnologies,https://ethos.tech,"Riyadh, Saudi Arabia","$10,000+",$200 - $300 / hr,2 - 9,10%,Riyadh,,Saudi Arabia,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Oriente Medio,2,Middle East,Saudi Arabia,SAU,5
AIDigital,https://aidigital.marketing/,"Dubai, United Arab Emirates",Undisclosed,Undisclosed,2 - 9,10%,Dubai,,United Arab Emirates,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Oriente Medio,0,Middle East,United Arab Emirates,ARE,39
Smartwebzone,http://www.smartwebzone.com,"Chandigarh, India","$1,000+",$25 - $49 / hr,2 - 9,10%,Chandigarh,,India,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
